feature,importance
cat__last_training_date_30/9/2021,0.0011895244
cat__last_training_date_29/7/2020,0.0011881039
cat__last_training_date_31/5/2025,0.0011845366
cat__cost_center_CC1007,0.0010712718
cat__last_training_date_28/2/2023,0.0010540445
num__bonus_eligible,0.0010252186
cat__cost_center_CC1012,0.0010179307
cat__last_training_date_30/6/2022,0.0009754169
cat__cost_center_CC1004,0.0009581153
cat__last_training_date_30/3/2020,0.0009360217
cat__last_training_date_30/7/2022,0.00091855443
cat__last_training_date_31/10/2023,0.00088484114
cat__last_training_date_30/1/2020,0.00080822536
cat__last_training_date_30/10/2021,0.0007855889
cat__last_training_date_31/12/2021,0.0006693134
cat__cost_center_CC1002,0.0006640298
cat__department_HR,0.0005941367
cat__last_training_date_31/7/2021,0.0005537267
cat__last_training_date_28/2/2021,0.0005319097
cat__last_training_date_30/7/2024,0.00047744432
cat__department_Finance,0.00045190766
cat__last_training_date_29/3/2020,0.000299601
cat__employment_type_Part-time,0.00018690644
cat__last_training_date_30/9/2022,0.00015634134
cat__last_training_date_28/10/2021,0.0
cat__last_training_date_28/10/2022,0.0
cat__last_training_date_28/1/2026,0.0
cat__succession_plan_status_Not in plan,0.0
cat__succession_plan_status_In plan,0.0
cat__pay_frequency_Monthly,0.0
cat__last_training_date_28/12/2022,0.0
cat__last_training_date_28/11/2021,0.0
cat__last_training_date_29/8/2024,0.0
cat__last_training_date_29/6/2024,0.0
cat__last_training_date_28/9/2025,0.0
cat__last_training_date_29/7/2024,0.0
cat__last_training_date_29/3/2024,0.0
cat__last_training_date_28/6/2023,0.0
cat__last_training_date_28/8/2022,0.0
cat__last_training_date_28/7/2021,0.0
cat__last_training_date_28/6/2025,0.0
cat__last_training_date_28/4/2021,0.0
cat__last_training_date_28/2/2026,0.0
cat__last_training_date_28/3/2021,0.0
cat__last_training_date_28/3/2025,0.0
cat__last_training_date_28/2/2025,0.0
cat__last_training_date_30/3/2025,0.0
cat__last_training_date_30/4/2020,0.0
cat__last_training_date_30/3/2022,0.0
cat__last_training_date_30/3/2023,0.0
cat__last_training_date_30/12/2020,0.0
cat__last_training_date_30/12/2019,0.0
cat__last_training_date_30/12/2023,0.0
cat__last_training_date_30/12/2024,0.0
cat__last_training_date_30/11/2025,0.0
cat__last_training_date_30/11/2024,0.0
cat__last_training_date_30/1/2024,0.0
cat__last_training_date_30/10/2022,0.0
cat__last_training_date_30/11/2019,0.0
cat__last_training_date_30/10/2024,0.0
cat__last_training_date_30/11/2021,0.0
cat__last_training_date_30/11/2022,0.0
cat__last_training_date_30/1/2022,0.0
cat__last_training_date_30/1/2023,0.0
cat__last_training_date_30/1/2025,0.0
cat__last_training_date_30/10/2020,0.0
cat__last_training_date_28/5/2025,0.0
cat__last_training_date_28/5/2023,0.0
cat__last_training_date_28/5/2022,0.0
cat__last_training_date_28/8/2023,0.0
cat__last_training_date_29/12/2024,0.0
cat__last_training_date_29/10/2024,0.0
cat__last_training_date_29/10/2020,0.0
cat__last_training_date_30/6/2025,0.0
cat__last_training_date_30/5/2021,0.0
cat__last_training_date_30/5/2022,0.0
cat__last_training_date_30/6/2023,0.0
cat__last_training_date_30/4/2025,0.0
cat__last_training_date_30/9/2023,0.0
cat__last_training_date_30/8/2023,0.0
cat__last_training_date_30/8/2024,0.0
cat__last_training_date_30/8/2025,0.0
cat__last_training_date_30/8/2019,0.0
cat__last_training_date_30/7/2025,0.0
cat__last_training_date_30/8/2022,0.0
cat__last_training_date_30/6/2024,0.0
cat__last_training_date_30/5/2025,0.0
cat__last_training_date_30/5/2024,0.0
cat__last_training_date_31/10/2025,0.0
cat__last_training_date_31/1/2025,0.0
cat__last_training_date_31/10/2022,0.0
cat__last_training_date_30/9/2025,0.0
cat__last_training_date_31/1/2022,0.0
cat__last_training_date_30/9/2024,0.0
cat__last_training_date_31/12/2025,0.0
cat__last_training_date_31/12/2024,0.0
cat__last_training_date_31/12/2023,0.0
cat__last_training_date_31/12/2022,0.0
cat__last_training_date_31/10/2024,0.0
cat__last_training_date_31/3/2025,0.0
cat__last_training_date_31/5/2023,0.0
cat__last_training_date_31/3/2024,0.0
cat__last_training_date_31/7/2022,0.0
cat__last_training_date_31/5/2024,0.0
cat__last_training_date_31/7/2025,0.0
cat__last_training_date_31/7/2024,0.0
cat__last_training_date_31/8/2021,0.0
cat__last_training_date_31/8/2023,0.0
cat__last_training_date_31/8/2024,0.0
cat__last_training_date_31/8/2025,0.0
